Animal Id,Status,Cage Id,Cage Parent Id,Protocol,Experiment,Experiment Group,Add-ons,Mouse Type,Strain,Markings,Date Of Birth (14/01/2025),Weaning Date,Mating Date,Dvc Owner
97516,CULLED,DVC_086882,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97503,CULLED,DVC_086875,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97497,CULLED,DVC_086872,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97520,CULLED,DVC_086884,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97512,CULLED,DVC_086880,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97506,CULLED,DVC_086877,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97488,CULLED,DVC_086868,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97491,CULLED,DVC_086869,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97507,CULLED,DVC_086877,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97524,CULLED,DVC_086886,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97509,CULLED,DVC_086878,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97527,CULLED,DVC_086887,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97496,CULLED,DVC_086872,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97534,CULLED,DVC_086891,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97523,CULLED,DVC_086885,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97535,CULLED,DVC_086891,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97528,CULLED,DVC_086888,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97492,CULLED,DVC_086870,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97531,CULLED,DVC_086889,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97504,CULLED,DVC_086876,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97493,CULLED,DVC_086870,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97533,CULLED,DVC_086890,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97513,CULLED,DVC_086880,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97500,CULLED,DVC_086874,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97517,CULLED,DVC_086882,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97494,CULLED,DVC_086871,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97537,CULLED,DVC_086892,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97522,CULLED,DVC_086885,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97514,CULLED,DVC_086881,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97510,CULLED,DVC_086879,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97505,CULLED,DVC_086876,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97489,CULLED,DVC_086868,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97498,CULLED,DVC_086873,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97521,CULLED,DVC_086884,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97525,CULLED,DVC_086886,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97519,CULLED,DVC_086883,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97508,CULLED,DVC_086878,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97529,CULLED,DVC_086888,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97495,CULLED,DVC_086871,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97515,CULLED,DVC_086881,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97518,CULLED,DVC_086883,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97502,CULLED,DVC_086875,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97536,CULLED,DVC_086892,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97530,CULLED,DVC_086889,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97511,CULLED,DVC_086879,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97490,CULLED,DVC_086869,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97526,CULLED,DVC_086887,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97499,CULLED,DVC_086873,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97501,CULLED,DVC_086874,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
97532,CULLED,DVC_086890,,,,,,ADULT,B6CBAF1,,1.73681E+12,,,
